repo_url,repo_name,chart_path,values_files,helm_command,error_source,error_kind,error_sub_kind,error_message,fix_resolved,fix_stop_reason
https://github.com/rancher/rancher,rancher/rancher,D:\helm_clones_github\rancher__rancher\chart,,,dependency,unknown,unclassified,Error: cannot load Chart.yaml: error converting YAML to JSON: yaml: line 4: found character that cannot start any token,,
https://github.com/labring/sealos,labring/sealos,D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend,D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend\kubepanel-frontend-values.yaml,helm template test D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend -f D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend\kubepanel-frontend-values.yaml,template,template,nil_pointer,"Error: kubepanel-frontend/templates/ingress.yaml:10:55
  executing ""kubepanel-frontend/templates/ingress.yaml"" at <include ""kubepanel-frontend.cloudOrigin"" .>:
    error calling include:
kubepanel-frontend/templates/_helpers.tpl:71:4
  executing ""kubepanel-frontend.cloudOrigin"" at <include ""kubepanel-frontend.scheme"" .>:
    error calling include:
kubepanel-frontend/templates/_helpers.tpl:44:27
  executing ""kubepanel-frontend.scheme"" at <.Values.kubepanelConfig.disableHttps>:
    nil pointer evaluating interface {}.disableHttps

Use --debug flag to render out invalid YAML
",false,unfixable_error_kind
https://github.com/bitnami/charts,bitnami/charts,D:\helm_clones_github\bitnami__charts\bitnami\common,,helm template test D:\helm_clones_github\bitnami__charts\bitnami\common,template,template,library_chart_not_installable,"Error: library charts are not installable
",false,unfixable_error_kind
https://github.com/refly-ai/refly,refly-ai/refly,D:\helm_clones_github\refly-ai__refly\deploy\helm\refly-stack,,,dependency,dependency,missing_repository,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'",,
https://github.com/microsoft/FluidFramework,microsoft/FluidFramework,D:\helm_clones_github\microsoft__FluidFramework\server\routerlicious\kubernetes\routerlicious,,helm template test D:\helm_clones_github\microsoft__FluidFramework\server\routerlicious\kubernetes\routerlicious,template,template,nil_pointer,"Error: routerlicious/templates/scriptorium-deployment.yaml:21:28
  executing ""routerlicious/templates/scriptorium-deployment.yaml"" at <include (print $.Template.BasePath ""/fluid-configmap.yaml"") .>:
    error calling include:
routerlicious/templates/fluid-configmap.yaml:117:39
  executing ""routerlicious/templates/fluid-configmap.yaml"" at <.Values.alfred.api.patchRoot>:
    nil pointer evaluating interface {}.patchRoot

Use --debug flag to render out invalid YAML
",true,
https://github.com/linode/apl-core,linode/apl-core,D:\helm_clones_github\linode__apl-core\chart\chart-index,,,dependency,dependency,repo_update,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://linode.github.io/cloud-firewall-controller"" chart repository
...Successfully got an update from the ""https://prometheus-msteams.github.io/prometheus-msteams/"" chart repository
...Successfully got an update from the ""https://kubernetes-sigs.github.io/metrics-server"" chart repository
...Successfully got an update from the ""https://cdfoundation.github.io/tekton-helm-chart/"" chart repository
...Successfully got an update from the ""https://knative.github.io/operator"" chart repository
...Successfully got an update from the ""https://kubernetes-sigs.github.io/external-dns"" chart repository
...Successfully got an update from the ""https://bitnami-labs.github.io/sealed-secrets/"" chart repository
...Successfully got an update from the ""https://kyverno.github.io/policy-reporter"" chart repository
...Successfully got an update from the ""https://aquasecurity.github.io/helm-charts/"" chart repository
...Successfully got an update from the ""https://oauth2-proxy.github.io/manifests"" chart repository
...Successfully got an update from the ""https://codecentric.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://kyverno.github.io/kyverno/"" chart repository
...Successfully got an update from the ""https://cloudnative-pg.github.io/charts"" chart repository
...Successfully got an update from the ""https://charts.jetstack.io"" chart repository
...Successfully got an update from the ""https://open-telemetry.github.io/opentelemetry-helm-charts"" chart repository
...Successfully got an update from the ""https://argoproj.github.io/argo-helm"" chart repository
...Successfully got an update from the ""https://dl.gitea.io/charts"" chart repository
...Successfully got an update from the ""https://helm.goharbor.io"" chart repository
...Successfully got an update from the ""https://grafana.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://prometheus-community.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://charts.external-secrets.io"" chart repository
...Successfully got an update from the ""https://istio-release.storage.googleapis.com/charts"" chart repository
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Saving 31 charts
Downloading argo-cd from repo https://argoproj.github.io/argo-helm
Downloading argocd-image-updater from repo oci://ghcr.io/argoproj/argo-helm/argocd-image-updater
Save error occurred:  could not download oci://ghcr.io/argoproj/argo-helm/argocd-image-updater/argocd-image-updater: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/argoproj/argo-helm/argocd-image-updater/argocd-image-updater/manifests/1.1.5"": GET ""https://ghcr.io/token?scope=repository%3Aargoproj%2Fargo-helm%2Fargocd-image-updater%2Fargocd-image-updater%3Apull&service=ghcr.io"": response status code 403: denied: requested access to the resource is denied
Error: could not download oci://ghcr.io/argoproj/argo-helm/argocd-image-updater/argocd-image-updater: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/argoproj/argo-helm/argocd-image-updater/argocd-image-updater/manifests/1.1.5"": GET ""https://ghcr.io/token?scope=repository%3Aargoproj%2Fargo-helm%2Fargocd-image-updater%2Fargocd-image-updater%3Apull&service=ghcr.io"": response status code 403: denied: requested access to the resource is denied",,
https://github.com/cozystack/cozystack,cozystack/cozystack,D:\helm_clones_github\cozystack__cozystack\packages\apps\bucket,,,dependency,dependency,unpack_error,Error: error unpacking subchart cozy-lib in bucket: Chart.yaml file is missing,,
https://github.com/grafana/helm-charts,grafana/helm-charts,D:\helm_clones_github\grafana__helm-charts\charts\enterprise-metrics,,,dependency,dependency,missing_subchart,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://helm.min.io/"" chart repository
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Error: minio chart not found in repo https://helm.min.io/",,
https://github.com/microsoft/mssql-docker,microsoft/mssql-docker,D:\helm_clones_github\microsoft__mssql-docker\linux\rancher,,helm template test D:\helm_clones_github\microsoft__mssql-docker\linux\rancher,template,template,nil_pointer,"Error: sql-server-rancher/templates/secret.yaml:9:32
  executing ""sql-server-rancher/templates/secret.yaml"" at <.Values.mssql.sa.password>:
    nil pointer evaluating interface {}.password

Use --debug flag to render out invalid YAML
",true,
https://github.com/norwoodj/helm-docs,norwoodj/helm-docs,D:\helm_clones_github\norwoodj__helm-docs\example-charts\custom-template,,,dependency,dependency,missing_repository,Error: no repository definition for @stable. Please add them via 'helm repo add',,
https://github.com/securitybunker/databunker,securitybunker/databunker,D:\helm_clones_github\securitybunker__databunker\charts\databunker,,,dependency,dependency,missing_repository,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'",,
https://github.com/trueforge-org/truecharts,trueforge-org/truecharts,D:\helm_clones_github\trueforge-org__truecharts\charts\library\common,,helm template test D:\helm_clones_github\trueforge-org__truecharts\charts\library\common,template,template,library_chart_not_installable,"Error: library charts are not installable
",false,unfixable_error_kind
https://github.com/trueforge-org/truecharts,trueforge-org/truecharts,D:\helm_clones_github\trueforge-org__truecharts\charts\stable\app-template,,helm template test D:\helm_clones_github\trueforge-org__truecharts\charts\stable\app-template,template,template,required_value,"Error: execution error at (app-template/templates/common.yaml:1:3): Service - Expected non-empty [port.port]

Use --debug flag to render out invalid YAML
",false,unfixable_error_kind
https://github.com/trueforge-org/truecharts,trueforge-org/truecharts,D:\helm_clones_github\trueforge-org__truecharts\charts\stable\authentik,,helm template test D:\helm_clones_github\trueforge-org__truecharts\charts\stable\authentik,template,template,required_value,"Error: execution error at (authentik/templates/common.yaml:97:3): Ingress - Expected ingress [main] to be enabled. This chart is designed to work only with ingress enabled.

Use --debug flag to render out invalid YAML
",false,unfixable_error_kind
