repo_url,repo_name,chart_path,values_files,helm_command,error_source,error_kind,error_sub_kind,error_message
https://github.com/ConductionNL/procces-engine,ConductionNL/procces-engine,cloned\ConductionNL__procces-engine\api\helm,,,dependency,dependency,missing_subchart,"manager.go:122: warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...
Error: the lock file (requirements.lock) is out of sync with the dependencies file (requirements.yaml). Please update the dependencies"
https://github.com/ESGF/esgf-helm,ESGF/esgf-helm,cloned\ESGF__esgf-helm,,helm template test cloned\ESGF__esgf-helm,template,template,missing_template,"Error: template: esgf-helm/templates/tds/deployment.yaml:60:34: executing ""esgf-helm/templates/tds/deployment.yaml"" at <include (print $.Template.BasePath ""/auth/secret.yaml"") .>: error calling include: template: esgf-helm/templates/auth/secret.yaml:9:30: executing ""esgf-helm/templates/auth/secret.yaml"" at <index .Values.secrets ""auth-database-password"">: error calling index: index of untyped nil

Use --debug flag to render out invalid YAML
"
https://github.com/pluralsh/plural-helm-charts,pluralsh/plural-helm-charts,cloned\pluralsh__plural-helm-charts\charts\airbyte,,,dependency,dependency,missing_repository,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts, https://pluralsh.github.io/plural-helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\authentification,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\authentification,template,template,nil_pointer,"Error: template: authentification/templates/service.yaml:6:18: executing ""authentification/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\devis-en-ligne,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\devis-en-ligne,template,template,nil_pointer,"Error: template: devis-en-ligne/templates/service.yaml:6:18: executing ""devis-en-ligne/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\offre-d-emplois,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\offre-d-emplois,template,template,nil_pointer,"Error: template: offre-d-emplois/templates/service.yaml:6:18: executing ""offre-d-emplois/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\upload,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\upload,template,template,nil_pointer,"Error: template: upload/templates/service.yaml:6:18: executing ""upload/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dashbord,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dashbord,template,template,nil_pointer,"Error: template: dashbord/templates/service.yaml:6:18: executing ""dashbord/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dynamique,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dynamique,template,template,nil_pointer,"Error: template: dynamique/templates/service.yaml:6:18: executing ""dynamique/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\statique,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\statique,template,template,nil_pointer,"Error: template: statique/templates/service.yaml:6:18: executing ""statique/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
